texto_interaccion,intencion_cliente,longitud_texto,contiene_urgencia
buenos dias no ay señal en mi sona mmm entonses sobre mi suenta,Soporte,63,0
metodos de pago habilitados ahh,Facturacion,31,0
estimados pésima atencion al cliente de este bot este... pero en el sistema,Reclamos,75,0
oye tienen fibra optica pucha porque rapido,Ventas,43,0
hola costo de instalacion de la fibra mmm,Ventas,41,0
oye deseo adquirir fibra simetrica ehh y en el sistema,Ventas,54,0
oye pago con tarjeta rechazado mmm y ahora mismo,Facturacion,48,0
buenas falla tecnica en la red local ehh,Soporte,40,0
ayuda planes postpago con gigas libres este...,Ventas,46,0
ayuda exijo hablar con un supervisor por este cobro ahh o sea rapido,Reclamos,68,1
estimados falla tecnica en la red local pucha,Soporte,45,0
buenas mi somputador no se sonesta al serbidor este... entonses son mi tarjeta,Soporte,78,0
por fabor belosidad de internet inestable este... porkue son mi sontrato,Soporte,72,0
buenas cuanto es mi deuda ahh y para hoy mismo,Facturacion,46,0
se sayo la red e,Soporte,16,0
solicitar cotizacion corporativa mmm o sea del servicio,Facturacion,55,0
que beneficios tiene el plan premium osea,Ventas,41,0
oye costo de instalacion de la fibra ahh,Ventas,40,0
buenas me interesa adquirir otra linea de servicio ahh pero con mi tarjeta,Ventas,74,0
por favor se desconecta a cada rato mmm pero en el sistema,Soporte,58,0
ayuda quiero pasarme a postpago ehh y ahora mismo,Ventas,49,0
buenas el internet va a paso de tortuga pucha resulta que con mi tarjeta,Soporte,72,0
buenos dias me interesa el servicio hogar pucha,Ventas,47,0
ola error en el nabegador al abrir la app pusa,Soporte,46,0
oye costos adicionales por activacion mmm,Ventas,41,0
me estan cobrando de mas en la factura mmm pero en el sistema,Facturacion,61,0
estimados recibo en formato digital por favor pucha,Facturacion,51,0
buenas el router tiene la luz roja pucha y ahora mismo,Soporte,54,0
quiero renovar mi plan pucha porque para hoy mismo,Ventas,50,0
ayuda nadie atiende mis reclamos este... resulta que en el sistema,Reclamos,66,0
estimados soporte con la configuracion del proxy entonces del servicio,Soporte,70,0
buenos dias error de red al descargar archivos este... resulta que de la aplicacion,Soporte,83,0
buenos dias nadie atiende mis reclamos resulta que ahora mismo,Reclamos,62,0
me prometieron algo que no cumplen osea,Reclamos,39,0
oye costo de instalacion osea resulta que para hoy mismo,Ventas,56,0
por favor quiero contratar telefonia fija ahh,Ventas,45,0
buenos dias cobro indebido registrado ahh pero ahora mismo,Facturacion,58,0
estimados mi cuenta registra saldo a favor o sea en el sistema,Facturacion,62,0
ayuda sonfirmar si ya ingreso mi pago e,Facturacion,39,1
hola quiero contratar el servicio ehh pero para hoy mismo,Ventas,57,0
buenos dias me siento estafado con este plan pucha,Reclamos,50,1
por fabor asesor de bentas por fabor mmm,Ventas,40,0
voy a denunciarlos ante el regulador ahh,Reclamos,40,1
hola costo de instalacion osea o sea en el sistema,Ventas,50,0
estimados el internet es una basura ahh,Reclamos,39,1
buenos dias me interesa adquirir otra linea de servicio ahh,Ventas,59,0
oye quiero darme de baja mmm o sea para hoy mismo,Reclamos,49,1
no me llego el cobro ahh,Facturacion,24,0
llevo dias sin conexion de internet mmm porque en el sistema,Reclamos,60,0
ola se sayo la red pusa,Soporte,23,0
buenas resibo en formato digital por fabor mmm y para oy mismo,Facturacion,62,0
quiero dar de alta mi ruc mmm,Facturacion,29,0
estimados necesito mi comprobante mmm,Facturacion,37,0
estimados se cayo la red osea,Soporte,29,0
por favor descuento no aplicado en el recibo pucha entonces rapido,Facturacion,66,0
oye reclamar por cobro excesivo resulta que para hoy mismo,Reclamos,58,0
necesito mi comprobante ahh porque del servicio,Facturacion,47,0
ayuda mi cuenta aparece como suspendida ahh,Soporte,43,0
estimados informacion de planes ahh,Ventas,35,0
hola precios del paquete ehh pero con mi contrato,Ventas,49,0
estimados no me llego el cobro ehh,Facturacion,34,0
oye error de red al descargar archivos resulta que de la aplicacion,Soporte,67,0
ayuda el router tiene la luz roja pucha pero del servicio,Soporte,57,0
por favor soporte con la configuracion del proxy ehh,Soporte,52,0
por favor olvide mi contrasena ehh y con mi tarjeta,Soporte,51,0
buenas mi modem parpadea sin parar ehh,Soporte,38,0
error en el link de pago mmm,Facturacion,28,0
buenos dias quiero darme de baja y rapido,Reclamos,41,1
buenas mi cuenta registra saldo a favor este...,Facturacion,47,0
oye descuento no aplicado en el recibo,Facturacion,38,0
catalogo de equipos disponibles pucha o sea de la aplicacion,Ventas,60,0
ayuda error de red al descargar archivos mmm,Soporte,44,0
buenos dias no me llego el cobro ehh,Facturacion,36,0
buenos dias donde pago mi mensualidad ahh pero rapido,Facturacion,53,0
estimados nadie me da solucion mmm y rapido,Reclamos,43,0
hola error de red al descargar archivos osea,Soporte,44,0
hola me cobraron doble estoy harto del servicio mmm entonces del servicio,Reclamos,73,1
estimados no tengo acceso al portal de clientes osea pero de la aplicacion,Ventas,74,0
oye el monto de este mes es incorrecto osea o sea ahora mismo,Facturacion,61,0
hola olvide mi contrasena ehh,Soporte,29,0
por favor cuales son los requisitos para contratar ehh y del servicio,Ventas,69,0
por favor error de login usuario bloqueado ehh,Soporte,46,0
estimados quiero aumentar la velocidad contratada osea,Ventas,54,0
buenos dias como adquiero un chip nuevo ahh resulta que sobre mi cuenta,Ventas,71,0
buenos dias somo adkuiero un sip nuebo pusa,Ventas,43,0
cambiar mi fecha de vencimiento este...,Facturacion,39,0
ayuda nesesito resetear mi slabe de la suenta,Soporte,45,0
buenos dias pago pendiente sin prosesar osea,Facturacion,44,0
buenas no me carga la pagina web pero de la aplicacion,Soporte,54,0
estimados como adquiero un chip nuevo osea resulta que para hoy mismo,Ventas,69,0
la conexion se cae constantemente resulta que del servicio,Soporte,58,0
por favor donde pago mi mensualidad ehh resulta que en el sistema,Facturacion,65,0
ayuda quiero contratar el servicio ahh resulta que en el sistema,Ventas,64,0
buenos dias me gustaria agregar cable a mi paquete este...,Ventas,58,0
por favor que beneficios tiene el plan premium ehh,Ventas,50,0
ayuda cambiar mi fecha de vencimiento ehh y para hoy mismo,Facturacion,58,0
oye olvide mi contrasena pucha porque para hoy mismo,Soporte,52,0
por favor comprar nuevo equipo este... o sea sobre mi cuenta,Ventas,60,0
por favor no tengo acceso al portal de clientes ehh,Soporte,51,0
buenos dias tienen fibra optisa pusa,Ventas,36,0
ayuda detalles del ciclo de facturacion ehh,Facturacion,43,0
buenas mi transferencia no pasa pucha porque sobre mi cuenta,Facturacion,60,0
hola el servicio de internet esta lento osea,Soporte,44,0
hola no recibo correos de verificacion osea resulta que con mi tarjeta,Soporte,70,0
buenos dias soporte tecnico urgente por favor ehh entonces con mi contrato,Soporte,74,1
ayuda quiero renovar mi plan este...,Ventas,36,0
por fabor sambiar mi fesa de bensimiento e,Facturacion,42,0
hola facturacion de este mes atrasada ahh,Facturacion,41,0
ayuda donde pago mi mensualidad pucha,Facturacion,37,0
buenos dias kuiero sontratar el serbisio pusa y del serbisio,Ventas,60,0
buenos dias la pantalla se queda en blanco este...,Soporte,50,0
hola exijo solucion inmediata,Reclamos,29,0
por favor es la tercera vez que llamo por lo mismo ahh,Reclamos,54,0
buenas quiero pasarme a postpago,Facturacion,32,0
ayuda cobro indebido registrado,Facturacion,31,0
hola me prometieron algo que no cumplen ahh,Reclamos,43,0
ayuda confirmar si ya ingreso mi pago ehh porque con mi contrato,Facturacion,64,1
por fabor detalles del sislo de fasturasion a resulta kue aora mismo,Facturacion,68,0
por favor mi cuenta aparece como suspendida,Soporte,43,0
buenos dias la pantalla se queda en blanco este... entonces en el sistema,Soporte,73,0
buenas voy a denunciarlos ante el regulador este...,Reclamos,51,1
estimados kuiero pasarme a postpago,Ventas,35,0
oye voy a denunciarlos ante el regulador ahh y con mi contrato,Reclamos,62,1
hola facturacion de este mes atrasada osea,Facturacion,42,0
ayuda cambiar mi fecha de vencimiento entonces ahora mismo,Facturacion,58,0
oye resibo en formato digital por fabor osea,Facturacion,44,0
la pantalla se queda en blanco pucha resulta que para hoy mismo,Soporte,63,0
problemas para ingresar o sea de la aplicacion,Soporte,46,0
hola problemas para ingresar ehh porque en el sistema,Soporte,53,0
buenas no recibo correos de verificacion o sea rapido,Soporte,53,0
estimados promociones para clientes nuevos pero sobre mi cuenta,Ventas,63,0
donde pago mi mensualidad este...,Facturacion,33,0
